GeneID	ChromosomeID	Start	End
Y74C9A.1	CHROMOSOME_I	43733	44677
Y48G1C.5	CHROMOSOME_I	55316	64021
F56C11.2	CHROMOSOME_I	160172	166819
Y48G1BM.6	CHROMOSOME_I	231574	238252
Y48G1BM.9	CHROMOSOME_I	254709	256606
Y48G1A.3	CHROMOSOME_I	332609	337844
Y48G1A.2	CHROMOSOME_I	347469	348358
R119.5	CHROMOSOME_I	388507	394415
Y65B4BR.8	CHROMOSOME_I	534453	535347
F56A6.2	CHROMOSOME_I	585820	607571
Y65B4A.7	CHROMOSOME_I	645626	647242
Y18H1A.1	CHROMOSOME_I	688279	691267
ZC123.4	CHROMOSOME_I	841746	846763
Y95B8A.11	CHROMOSOME_I	889932	895099
Y95B8A.5	CHROMOSOME_I	897286	906004
C54G6.2	CHROMOSOME_I	1003889	1010765
R06A10.1	CHROMOSOME_I	1084579	1088588
K12C11.6	CHROMOSOME_I	1337020	1338120
Y92H12BR.6	CHROMOSOME_I	1405944	1413071
F47G6.2	CHROMOSOME_I	1471297	1479924
Y73E7A.3	CHROMOSOME_I	1584329	1593668
Y73E7A.4	CHROMOSOME_I	1594656	1596175
Y71G12B.35	CHROMOSOME_I	1672871	1676430
Y71G12B.11	CHROMOSOME_I	1721592	1740918
Y71G12B.6	CHROMOSOME_I	1793254	1796425
C53H9.3	CHROMOSOME_I	1832115	1832641
Y37E3.5	CHROMOSOME_I	2065727	2069049
Y37E3.13	CHROMOSOME_I	2085673	2093822
W03F11.5	CHROMOSOME_I	2216100	2219442
Y39G10AR.12	CHROMOSOME_I	2297280	2304393
Y39G10AR.10	CHROMOSOME_I	2300086	2302824
Y39G10AR.6	CHROMOSOME_I	2333326	2338688
Y39G10AR.5	CHROMOSOME_I	2342216	2350468
Y39G10AR.3	CHROMOSOME_I	2357883	2372964
Y39G10AR.2	CHROMOSOME_I	2402232	2409987
F23C8.7	CHROMOSOME_I	2422334	2425073
F23C8.8	CHROMOSOME_I	2429683	2432603
F23C8.1	CHROMOSOME_I	2446763	2448345
Y23H5B.7	CHROMOSOME_I	2506779	2513826
C55C2.1	CHROMOSOME_I	2568872	2570746
Y23H5A.2	CHROMOSOME_I	2621955	2623270
F32B5.6	CHROMOSOME_I	2668160	2672429
Y71F9B.9	CHROMOSOME_I	2759023	2761040
Y71F9B.13	CHROMOSOME_I	2776370	2778719
W10C8.2	CHROMOSOME_I	2823468	2830293
Y71F9AL.16	CHROMOSOME_I	2883496	2893718
Y71F9AL.5	CHROMOSOME_I	2901335	2903005
Y71F9AR.1	CHROMOSOME_I	2949609	2957876
Y71F9AR.3	CHROMOSOME_I	2986107	2995913
Y54E10BR.7	CHROMOSOME_I	3035238	3047794
C45E1.1	CHROMOSOME_I	3104363	3109542
K09H9.8	CHROMOSOME_I	3138539	3140601
K09H9.5	CHROMOSOME_I	3141705	3143175
Y54E10A.7	CHROMOSOME_I	3162813	3163649
Y54E10A.16	CHROMOSOME_I	3244150	3246164
W05F2.7	CHROMOSOME_I	3352463	3359433
W05F2.4	CHROMOSOME_I	3374780	3402864
Y47G6A.7	CHROMOSOME_I	3502738	3508424
Y47G6A.18	CHROMOSOME_I	3508635	3512733
Y47G6A.19	CHROMOSOME_I	3523334	3529956
Y47G6A.5	CHROMOSOME_I	3533994	3539156
Y47G6A.31	CHROMOSOME_I	3603343	3604519
T28F2.2	CHROMOSOME_I	3637435	3638819
C32E8.7	CHROMOSOME_I	3778090	3781658
C32E8.9	CHROMOSOME_I	3794553	3798053
C32E8.10	CHROMOSOME_I	3798566	3805718
T20F5.5	CHROMOSOME_I	3917879	3920172
T20F5.6	CHROMOSOME_I	3920177	3925162
T21E3.1	CHROMOSOME_I	3932210	3934814
H31G24.3	CHROMOSOME_I	4116851	4118162
ZK973.11	CHROMOSOME_I	4379320	4381898
C41D11.1	CHROMOSOME_I	4457383	4469461
D1007.16	CHROMOSOME_I	4603223	4604196
W09C3.4	CHROMOSOME_I	4704622	4705870
C10H11.4	CHROMOSOME_I	4727301	4730366
F57C9.1	CHROMOSOME_I	4848420	4850717
W03G9.1	CHROMOSOME_I	4980307	4983955
B0261.8	CHROMOSOME_I	5271277	5272037
F55A12.3	CHROMOSOME_I	5358520	5365163
M01E11.7	CHROMOSOME_I	5583405	5597332
F46F11.9	CHROMOSOME_I	5610374	5616402
B0207.5	CHROMOSOME_I	5919787	5935416
B0207.12	CHROMOSOME_I	5967251	5973320
C06A5.4	CHROMOSOME_I	5980791	5981588
C06A5.12	CHROMOSOME_I	6004653	6007595
C27A12.8	CHROMOSOME_I	6058449	6061033
ZK484.2	CHROMOSOME_I	6081782	6085962
T27A3.1	CHROMOSOME_I	6122590	6126854
ZC308.4	CHROMOSOME_I	6368271	6369598
ZC328.3	CHROMOSOME_I	6409060	6416883
C55B7.11	CHROMOSOME_I	6511391	6513842
F57B10.5	CHROMOSOME_I	6562699	6563660
F57B10.12	CHROMOSOME_I	6564746	6565868
W02D3.8	CHROMOSOME_I	6734029	6736161
F08B6.4	CHROMOSOME_I	6761228	6767797
K02F2.6	CHROMOSOME_I	6820517	6823093
T10B11.5	CHROMOSOME_I	6940220	6941990
C30F12.5	CHROMOSOME_I	6991755	6999571
H06O01.3	CHROMOSOME_I	7005443	7009175
W01A8.1	CHROMOSOME_I	7057170	7059349
F22D6.10	CHROMOSOME_I	7105319	7106924
K07G5.3	CHROMOSOME_I	7161016	7166518
M05B5.1	CHROMOSOME_I	7177953	7179430
R06C7.5	CHROMOSOME_I	7246824	7248687
F13G3.8	CHROMOSOME_I	7308603	7311939
F52A8.4	CHROMOSOME_I	7339204	7345949
T25G3.3	CHROMOSOME_I	7559839	7562351
D2030.9	CHROMOSOME_I	7596507	7602203
T23G11.11	CHROMOSOME_I	7701152	7701389
F27D4.5	CHROMOSOME_I	7727267	7729076
F30F8.5	CHROMOSOME_I	7846922	7848892
R11A5.3	CHROMOSOME_I	7862842	7863553
F52B5.1	CHROMOSOME_I	8296917	8307566
C34B7.1	CHROMOSOME_I	8330552	8332719
D1081.6	CHROMOSOME_I	8482759	8485694
R05D11.4	CHROMOSOME_I	8598658	8601220
F43G9.3	CHROMOSOME_I	8612728	8615131
K07A12.2	CHROMOSOME_I	8676663	8681334
K07A12.5	CHROMOSOME_I	8693451	8695159
C36B1.14	CHROMOSOME_I	8730154	8730922
DY3.2	CHROMOSOME_I	8762988	8765633
F36A2.7	CHROMOSOME_I	8813761	8815196
F29D10.3	CHROMOSOME_I	8842552	8845595
F53B6.2	CHROMOSOME_I	8931035	8942287
F53B6.7	CHROMOSOME_I	8948778	8954394
F53B6.6	CHROMOSOME_I	8954559	8957482
F32H2.2	CHROMOSOME_I	8966130	8967004
W06D4.6	CHROMOSOME_I	9065087	9070286
T06D10.3	CHROMOSOME_I	9085351	9085855
F25H5.6	CHROMOSOME_I	9159015	9159757
F25H5.3	CHROMOSOME_I	9168432	9177497
F25H5.1	CHROMOSOME_I	9181848	9210339
F14B4.1	CHROMOSOME_I	9265951	9270919
